type,title,url,parent_url,local_path,status,size_bytes,seconds,error
post,Big to Small - Outro Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203/posts/2163765364,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/2D FX Playbook/Big to Small - Outro Animation.html,REPLACED,267687,11.320,
post,Break into Pieces - Outro Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203/posts/2163765366,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/2D FX Playbook/Break into Pieces - Outro Animation.html,REPLACED,265492,6.982,
post,Carving out Shapes - Outro Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203/posts/2163765371,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/2D FX Playbook/Carving out Shapes - Outro Animation.html,REPLACED,266737,13.197,
post,Timing Offset - Looping Effects,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203/posts/2171429855,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/2D FX Playbook/Timing Offset - Looping Effects.html,REPLACED,261869,7.771,
post,Rotating Keys - Looping Effects,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203/posts/2171429904,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/2D FX Playbook/Rotating Keys - Looping Effects.html,REPLACED,267235,11.468,
post,Wave Principle - Looping Effects,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203/posts/2171429923,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/2D FX Playbook/Wave Principle - Looping Effects.html,REPLACED,265532,6.521,
post,Linear Keyframes - Looping Effects,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203/posts/2171429925,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/2D FX Playbook/Linear Keyframes - Looping Effects.html,REPLACED,266994,12.342,
post,Effects in Motion - Overlapping Action,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203/posts/2171429927,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/2D FX Playbook/Effects in Motion - Overlapping Action.html,REPLACED,267628,6.305,
post,2D FX Basics Review,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2153488366/posts/2170122606,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2153488366,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/Review/2D FX Basics Review.html,REPLACED,261237,8.661,
post,Introduction & First Batch Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627214/posts/2158960251,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627214,Hand-Drawn 2D FX_ Level 1/Applied Foundations - Animation/Line Wiggle Warmup/Introduction & First Batch Animation.html,REPLACED,266922,6.621,
post,First Batch Cleanup,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627214/posts/2158960254,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627214,Hand-Drawn 2D FX_ Level 1/Applied Foundations - Animation/Line Wiggle Warmup/First Batch Cleanup.html,REPLACED,261892,6.994,
post,Second Batch Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627214/posts/2158960255,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627214,Hand-Drawn 2D FX_ Level 1/Applied Foundations - Animation/Line Wiggle Warmup/Second Batch Animation.html,REPLACED,262680,12.728,
post,Second Batch Cleanup,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627214/posts/2158960259,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627214,Hand-Drawn 2D FX_ Level 1/Applied Foundations - Animation/Line Wiggle Warmup/Second Batch Cleanup.html,REPLACED,261732,6.328,
post,Straight-Ahead Approach,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627215/posts/2158960241,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627215,Hand-Drawn 2D FX_ Level 1/Applied Foundations - Animation/Negative Shapes_ Blip Animation/Straight-Ahead Approach.html,REPLACED,261857,6.931,
post,Animation Cleanup,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627215/posts/2158960242,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627215,Hand-Drawn 2D FX_ Level 1/Applied Foundations - Animation/Negative Shapes_ Blip Animation/Animation Cleanup.html,REPLACED,262430,11.372,
