type,title,url,parent_url,local_path,status
post,Impulse & Rhythm,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141/posts/2158959486,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141,Hand-Drawn 2D FX_ Level 1/FX Timing Principles - Explained/Impulse & Rhythm.html,DISCOVERED
post,Follow-through,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141/posts/2158959487,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141,Hand-Drawn 2D FX_ Level 1/FX Timing Principles - Explained/Follow-through.html,DISCOVERED
post,Arcs,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141/posts/2158959488,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141,Hand-Drawn 2D FX_ Level 1/FX Timing Principles - Explained/Arcs.html,DISCOVERED
post,Stretch & Smear,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141/posts/2158959490,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141,Hand-Drawn 2D FX_ Level 1/FX Timing Principles - Explained/Stretch & Smear.html,DISCOVERED
post,Animation and Design Tracks Overview,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150659695/posts/2158959571,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150659695,Hand-Drawn 2D FX_ Level 1/Animation & Design - Track Overview/Animation and Design Tracks Overview.html,DISCOVERED
category,Lesson Sketch,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627445,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627189,Hand-Drawn 2D FX_ Level 1/Drawing Foundations - Design/Lesson Sketch/index.html,DISCOVERED
category,Review,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150659699,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627189,Hand-Drawn 2D FX_ Level 1/Drawing Foundations - Design/Review/index.html,DISCOVERED
post,Drawing with Confidence,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627189/posts/2158959654,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627189,Hand-Drawn 2D FX_ Level 1/Drawing Foundations - Design/Drawing with Confidence.html,DISCOVERED
post,Thinking in 3D,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627189/posts/2158959670,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627189,Hand-Drawn 2D FX_ Level 1/Drawing Foundations - Design/Thinking in 3D.html,DISCOVERED
post,Drawing in Perspective,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627189/posts/2158959671,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627189,Hand-Drawn 2D FX_ Level 1/Drawing Foundations - Design/Drawing in Perspective.html,DISCOVERED
